model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,tuned_folds,mean_inner_best,best_params_fold0,target,block,chance,degenerate,permuted_score,gap_vs_permuted
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4236904761904762,0.1264145584557774,25,False,20,0.3,25,0.4867222222222221,"{'n_components': 3.0, 'keep_x': 12.0}",tox_cardiotoxicity,morphology,0.5,False,0.503452380952381,-0.07976190476190481
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4051190476190476,0.1269025283462874,25,False,20,0.5,25,0.4786296296296296,{'C': 2.8280842728576074e-05},tox_cardiotoxicity,morphology,0.5,False,0.5166666666666666,-0.111547619047619
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6021666666666667,0.1165595275247378,25,False,20,0.3,25,0.583073593073593,{'C': 1.0146717394418023},tox_infertility,ecfp,0.5,False,0.4093333333333333,0.1928333333333334
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5505,0.1643091973861445,25,False,20,0.5,25,0.5171176046176046,{'C': 0.00107141028186845},tox_infertility,morphology+ecfp,0.5,False,0.4212222222222222,0.12927777777777777
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5831666666666666,0.1182245979293461,25,False,20,7.0,25,0.6118686868686869,"{'C': 0.41359973938398914, 'l1_ratio': 0.5448831829968969}",tox_infertility,ecfp,0.5,False,0.4581111111111111,0.12505555555555553
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5943333333333334,0.1017985786604309,25,False,20,3.2,25,0.6440079365079366,"{'max_depth': 2.0, 'n_estimators': 150.0, 'learning_rate': 0.06954241509602922, 'subsample': 0.7193007567311602, 'colsample_bytree': 0.9895364542533036, 'min_child_weight': 1.0, 'reg_alpha': 0.006847105576684045, 'reg_lambda': 0.0049407977325260895}",tox_infertility,ecfp,0.5,False,0.4767222222222221,0.11761111111111128
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5529999999999999,0.1480248978056406,25,False,20,0.3,25,0.6061904761904762,"{'n_components': 1.0, 'keep_x': 6.0}",tox_infertility,ecfp,0.5,False,0.444611111111111,0.10838888888888892
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5075,0.1045581532325786,25,False,20,0.4,25,0.5681168831168831,"{'n_components': 1.0, 'keep_x': 5.0}",tox_infertility,morphology+ecfp,0.5,False,0.4342777777777777,0.07322222222222224
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5262777777777778,0.1230978231898276,25,False,20,10.9,25,0.5607106782106781,"{'C': 0.2560161525002872, 'l1_ratio': 0.925596638292661}",tox_infertility,morphology+ecfp,0.5,False,0.4852222222222221,0.041055555555555734
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4781111111111111,0.1106317995050627,25,False,20,14.5,25,0.5564321789321789,"{'n_components': 3.0, 'keep_x': 21.0}",tox_infertility,morphology+expression,0.5,False,0.4601111111111111,0.018000000000000016
