model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,tuned_folds,mean_inner_best,best_params_fold0,target,block,chance,degenerate
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5175,0.1128139358722322,25,True,20,3.0,25,0.6090740740740741,"{'max_depth': 4.0, 'n_estimators': 100.0, 'learning_rate': 0.03557568870648971, 'subsample': 0.6185152525288414, 'colsample_bytree': 0.274350998236228, 'min_child_weight': 2.0, 'reg_alpha': 0.5023764959010182, 'reg_lambda': 0.020960708229877376}",tox_cardiotoxicity,ecfp,0.5,
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4827380952380952,0.0609356375812844,25,False,20,4.8,25,0.5040925925925925,"{'C': 0.034828020870283326, 'l1_ratio': 0.6458941130666561}",tox_cardiotoxicity,morphology,0.5,False
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.5095238095238094,0.0877082878875898,25,True,20,5.3,25,0.5445925925925925,"{'C': 60.53082080079022, 'l1_ratio': 0.3834415188257777}",tox_cardiotoxicity,morphology,0.5,
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4236904761904762,0.1264145584557774,25,False,20,0.3,25,0.4867222222222221,"{'n_components': 3.0, 'keep_x': 12.0}",tox_cardiotoxicity,morphology,0.5,False
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.503452380952381,0.1118435749641926,25,True,20,0.3,25,0.5369259259259259,"{'n_components': 2.0, 'keep_x': 91.0}",tox_cardiotoxicity,morphology,0.5,
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4051190476190476,0.1269025283462874,25,False,20,0.5,25,0.4786296296296296,{'C': 2.8280842728576074e-05},tox_cardiotoxicity,morphology,0.5,False
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.5166666666666666,0.1107686758361101,25,True,20,0.5,25,0.5513518518518519,{'C': 0.0014078225549666694},tox_cardiotoxicity,morphology,0.5,
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4698809523809524,0.1111560566691728,25,False,20,5.3,25,0.5403148148148148,"{'max_depth': 3.0, 'n_estimators': 300.0, 'learning_rate': 0.07768811685516967, 'subsample': 0.7724415914984484, 'colsample_bytree': 0.4812893194050143, 'min_child_weight': 4.0, 'reg_alpha': 0.0562793204741517, 'reg_lambda': 6.847663737979948}",tox_cardiotoxicity,morphology,0.5,False
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4751190476190476,0.1085224670302888,25,True,20,5.0,25,0.5507592592592593,"{'max_depth': 2.0, 'n_estimators': 150.0, 'learning_rate': 0.06954241509602922, 'subsample': 0.7193007567311602, 'colsample_bytree': 0.9895364542533036, 'min_child_weight': 1.0, 'reg_alpha': 0.006847105576684045, 'reg_lambda': 0.0049407977325260895}",tox_cardiotoxicity,morphology,0.5,
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5203571428571427,0.0675991335531962,25,False,20,328.6,25,0.5825925925925926,"{'C': 5.627949975223147, 'l1_ratio': 0.5288949197529045}",tox_cardiotoxicity,expression,0.5,False
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5446428571428572,0.1611963669177534,25,True,20,334.2,25,0.5920925925925926,"{'C': 4.665954567021848, 'l1_ratio': 0.8700121482468192}",tox_cardiotoxicity,expression,0.5,
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5426190476190477,0.0936841983738096,25,False,20,17.9,25,0.5939444444444445,"{'n_components': 2.0, 'keep_x': 121.0}",tox_cardiotoxicity,expression,0.5,False
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4871428571428571,0.0906785018786032,25,True,20,17.5,25,0.6307037037037037,"{'n_components': 3.0, 'keep_x': 9.0}",tox_cardiotoxicity,expression,0.5,
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.569047619047619,0.1012184835190474,25,False,20,26.6,25,0.5657407407407408,{'C': 1.5006703952829317e-05},tox_cardiotoxicity,expression,0.5,False
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5286904761904762,0.1233619428115509,25,True,20,25.7,25,0.5793703703703703,{'C': 0.0694535625742477},tox_cardiotoxicity,expression,0.5,
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5778571428571428,0.0977883259358825,25,False,20,627.4,25,0.5953703703703703,"{'max_depth': 4.0, 'n_estimators': 250.0, 'learning_rate': 0.12358960550136179, 'subsample': 0.5195938961271603, 'colsample_bytree': 0.3545262663187686, 'min_child_weight': 1.0, 'reg_alpha': 0.015295398277813725, 'reg_lambda': 0.003240794406053531}",tox_cardiotoxicity,expression,0.5,False
