target,block,model,n,score_mean,permuted_score,gap_vs_permuted,se_gap,gap_lo,gap_hi,clears_zero,degenerate
tox_liver_toxicity,morphology+expression,elastic_net,70,0.6753939393939393,0.4822424242424242,0.1931515151515151,0.034775686808762245,0.12499242145270152,0.2613106088503287,True,False
tox_infertility,ecfp,linear_svm,70,0.6021666666666667,0.4093333333333333,0.1928333333333334,0.031807057218310654,0.13049264671661026,0.25517401995005656,True,False
moa-fine,morphology+ecfp,sparse_plsda,64,0.6926666666666667,0.5033333333333333,0.1893333333333333,0.040563585202055844,0.1098301672348249,0.2688364994318417,True,False
tox_liver_toxicity,expression,elastic_net,70,0.6822121212121212,0.4949696969696969,0.1872424242424242,0.033244564998332796,0.12208427414870035,0.25240057433614804,True,False
tox_liver_toxicity,ecfp,sparse_plsda,70,0.6105151515151515,0.433969696969697,0.1765454545454544,0.029338998951977408,0.11904207324362592,0.23404883584728287,True,False
moa-fine,ecfp,elastic_net,64,0.6606666666666666,0.486,0.1746666666666666,0.03816409016048695,0.09986642443181933,0.2494669089015139,True,False
tox_liver_toxicity,morphology+ecfp,elastic_net,70,0.6408181818181817,0.4709393939393939,0.1698787878787878,0.023227908232228135,0.12435292429673564,0.21540465146083995,True,False
moa-fine,ecfp,sparse_plsda,64,0.6613333333333332,0.5066666666666666,0.1546666666666666,0.030444412003226822,0.09499671559584032,0.21433661773749285,True,False
moa-fine,morphology+ecfp,xgboost,64,0.6606666666666666,0.5106666666666667,0.1499999999999999,0.03077892496859209,0.08967441556454216,0.21032558443545768,True,False
tox_renal_toxicity,ecfp,xgboost,70,0.7008333333333333,0.5537222222222222,0.147111111111111,0.030294105689162906,0.08773575500256811,0.20648646721965389,True,False
tox_pulmonary_toxicity,morphology+ecfp,linear_svm,70,0.5533888888888889,0.4073333333333333,0.1460555555555556,0.02975212410717742,0.08774246382823758,0.20436864728287363,True,False
tox_liver_toxicity,morphology+ecfp,linear_svm,70,0.5940909090909091,0.4484848484848484,0.1456060606060607,0.03528384183942409,0.07645100134835335,0.21476111986376806,True,False
tox_cardiotoxicity,ecfp,sparse_plsda,70,0.5179811507936508,0.3772619047619047,0.1407192460317461,0.03595875718655921,0.07024137700073012,0.21119711506276206,True,False
moa-fine,ecfp,linear_svm,64,0.6659999999999999,0.532,0.1339999999999999,0.042062387526678076,0.05155923532459765,0.21644076467540213,True,False
tox_renal_toxicity,expression,linear_svm,70,0.6317222222222223,0.5022222222222222,0.1295,0.03288857732585156,0.06503957292344334,0.19396042707655667,True,False
tox_infertility,morphology+ecfp,linear_svm,70,0.5505,0.4212222222222222,0.1292777777777777,0.03865919468035169,0.053507148515184816,0.2050484070403706,True,False
tox_renal_toxicity,expression,elastic_net,70,0.6148888888888888,0.4886666666666666,0.1262222222222222,0.029290077534470743,0.06881472513680195,0.18362971930764246,True,False
tox_infertility,ecfp,elastic_net,70,0.5831666666666666,0.4581111111111111,0.1250555555555555,0.02910241600424181,0.06801586831075396,0.18209524280035705,True,False
moa-fine,morphology,xgboost,64,0.6393333333333332,0.5166666666666666,0.1226666666666665,0.03350462654619507,0.056998805305249214,0.18833452802808376,True,False
tox_infertility,ecfp,xgboost,70,0.5943333333333334,0.4767222222222221,0.1176111111111112,0.027550313121386096,0.06361348961772151,0.17160873260450088,True,False
tox_renal_toxicity,morphology+ecfp,sparse_plsda,70,0.6238333333333334,0.5062777777777778,0.1175555555555555,0.03270187067552882,0.05346106678939139,0.1816500443217196,True,False
tox_renal_toxicity,morphology+expression,linear_svm,70,0.6141111111111112,0.5017777777777777,0.1123333333333335,0.027135826621272344,0.059148090452435464,0.16551857621423152,True,False
moa-fine,expression,sparse_plsda,64,0.5780000000000001,0.4666666666666666,0.1113333333333334,0.037876947450238736,0.0370958804691279,0.1855707861975389,True,False
tox_renal_toxicity,morphology+expression,elastic_net,70,0.6106666666666667,0.4995,0.1111666666666666,0.027907320160103468,0.05646932423499937,0.16586400909833382,True,False
tox_liver_toxicity,morphology+ecfp,sparse_plsda,70,0.5701515151515152,0.4601515151515151,0.1100000000000001,0.03316015620584376,0.04500728809957208,0.17499271190042812,True,False
tox_infertility,ecfp,sparse_plsda,70,0.5529999999999999,0.444611111111111,0.1083888888888889,0.038521518757798294,0.0328880994761023,0.1838896783016755,True,False
tox_cardiotoxicity,ecfp,linear_svm,70,0.5419047619047619,0.4408333333333333,0.1010714285714285,0.03398313907655674,0.03446569988413113,0.1676771572587259,True,False
moa-fine,morphology+expression,sparse_plsda,64,0.5633333333333334,0.4645833333333333,0.09875,0.034360320939895064,0.031405008444764335,0.16609499155523566,True,False
tox_pulmonary_toxicity,morphology+ecfp,sparse_plsda,70,0.5665555555555555,0.4705,0.0960555555555555,0.032952004004327774,0.03147081447349728,0.16064029663761373,True,False
tox_pulmonary_toxicity,ecfp,elastic_net,70,0.5792777777777778,0.4877222222222221,0.0915555555555556,0.025269730098662686,0.04202779465150624,0.14108331645960495,True,False
tox_cardiotoxicity,ecfp,elastic_net,70,0.5233333333333333,0.439642857142857,0.0836904761904763,0.025002380839013044,0.034686710206756656,0.13269424217419595,True,False
tox_pulmonary_toxicity,morphology+ecfp,elastic_net,70,0.5757777777777777,0.4921111111111111,0.0836666666666666,0.022804022820329804,0.038971603225702055,0.12836173010763113,True,False
tox_pulmonary_toxicity,morphology+ecfp,xgboost,70,0.5722222222222222,0.4897222222222221,0.0825,0.03480554447104548,0.014282386358434984,0.15071761364156502,True,False
tox_pulmonary_toxicity,ecfp,linear_svm,70,0.5497222222222222,0.4696666666666667,0.0800555555555555,0.030288599493196424,0.020690991392801263,0.13942011971830975,True,False
tox_renal_toxicity,morphology+ecfp,elastic_net,70,0.6241666666666666,0.5471111111111111,0.0770555555555555,0.03723672354339077,0.00407291849110801,0.150038192620003,True,False
tox_infertility,morphology+ecfp,sparse_plsda,70,0.5075,0.4342777777777777,0.0732222222222222,0.02779929388924725,0.018736607390867015,0.12770783705357738,True,False
tox_liver_toxicity,morphology+expression,sparse_plsda,70,0.6053939393939394,0.5361818181818182,0.0692121212121211,0.029600976580321174,0.01119527319386314,0.12722896923037907,True,False
moa-fine,ecfp,xgboost,64,0.5826666666666667,0.514,0.0686666666666666,0.029426518652399224,0.010991749904033392,0.1263415834292998,True,False
