pair,variant,n,p_a,p_b,rv_adj,rv_adj_p,mantel_r,mantel_p,protest_r,protest_p,rv_plain,rv2,rv_emp_adj,permutations
morphology~expression,ctl_random,119,636,41780,0.00016885288159868673,0.4193,-0.015418038189853758,0.6056,0.4736129306646192,0.4985,0.24493622028579637,0.026376438822119968,0.00016229231231664406,9999
morphology~expression,ctl_random,119,636,41780,0.0012009252068372854,0.0712,0.04226357023062321,0.2429,0.47385589109437326,0.1889,0.24572154346740785,0.03974024344009502,0.0012047464426915009,9999
morphology~expression,ctl_random,119,636,41780,0.0009132102571413491,0.1428,0.058782059030473566,0.1569,0.4739714767884785,0.1029,0.245490215300599,0.031157921842987345,0.000900499162116142,9999
morphology~expression,ctl_random,119,636,41780,0.00016610886619680392,0.4173,0.07164665504292024,0.1153,0.4737571328876423,0.3018,0.2449378921781478,0.021539908295293158,0.00016684586754590907,9999
morphology~expression,ctl_random,119,636,41780,-0.0003010668450629861,0.6494,-0.02659702138886346,0.6817,0.4734750233809546,0.6945,0.244583441771578,0.019888459031892427,-0.0003091573983417869,9999
morphology~expression,ctl_random,119,636,41780,0.0008065214942494582,0.1632,0.03570099183484036,0.2714,0.47391755025603083,0.1373,0.2454210261613259,0.028729045253694418,0.0007836564056156219,9999
morphology~expression,ctl_random,119,636,41780,0.00019539317169939464,0.4024,0.03723880382684942,0.2694,0.47377647762417846,0.2805,0.24495857830529466,0.030889593527628014,0.00019174769955421648,9999
morphology~expression,ctl_random,119,636,41780,-0.00040547316549963456,0.6814,0.02747311066287489,0.326,0.47355106254351814,0.5782,0.24451177255028042,0.022087321447589445,-0.0003923319014113887,9999
morphology~expression,ctl_random,119,636,41780,0.0007489981869390114,0.1772,0.023609879758608163,0.3484,0.47389562722263534,0.1607,0.24538020845017272,0.03100277081514035,0.0007480455923160568,9999
morphology~expression,ctl_random,119,636,41780,0.0007830270726432942,0.1602,-0.05775190771747668,0.8476,0.47377472302164175,0.2687,0.24538747727965246,0.031680923948414506,0.0007880257741260004,9999
morphology~expression,ctl_random,119,636,41780,-0.00024789698386557847,0.6181,-0.015367683274614715,0.6002,0.4735752965326962,0.5586,0.24462934588338675,0.02894444592407465,-0.0002471829895903458,9999
morphology~expression,ctl_random,119,636,41780,9.223312403879197e-05,0.4566,0.005056261560346571,0.4673,0.4735413860584613,0.6099,0.2448875089437055,0.024755065667587933,8.734203505682632e-05,9999
