target,block,model,score_mean_base,score_mean_tuned,d_score,permuted_score_base,permuted_score_tuned,d_permuted,gap_vs_permuted_base,gap_vs_permuted_tuned,d_gap,verdict
tox_liver_toxicity,morphology+ecfp,elastic_net,0.6530606060606061,0.6408181818181817,-0.012242424242424388,0.4755757575757576,0.4709393939393939,-0.004636363636363716,0.1774848484848485,0.1698787878787878,-0.0076060606060606994,unchanged
tox_cardiotoxicity,ecfp,sparse_plsda,0.5310714285714286,0.5179811507936508,-0.013090277777777826,0.3820238095238095,0.3772619047619047,-0.0047619047619048005,0.1490476190476191,0.1407192460317461,-0.008328373015872997,unchanged
tox_liver_toxicity,morphology+ecfp,linear_svm,0.6195454545454545,0.5940909090909091,-0.025454545454545396,0.465121212121212,0.4484848484848484,-0.016636363636363616,0.1544242424242425,0.1456060606060607,-0.00881818181818178,unchanged
tox_cardiotoxicity,morphology+ecfp,elastic_net,0.4579761904761905,0.4652380952380952,0.007261904761904692,0.4417857142857143,0.4585714285714286,0.016785714285714293,0.0161904761904762,0.0066666666666665,-0.0095238095238097,unchanged
moa-fine,expression,elastic_net,0.6866666666666668,0.6726666666666665,-0.014000000000000234,0.4386666666666666,0.4346666666666667,-0.0039999999999998925,0.2480000000000001,0.2379999999999998,-0.010000000000000314,unchanged
tox_renal_toxicity,morphology+ecfp,linear_svm,0.5443888888888889,0.5142222222222221,-0.030166666666666786,0.5530555555555555,0.5330555555555555,-0.020000000000000018,-0.0086666666666666,-0.0188333333333333,-0.010166666666666699,unchanged
tox_renal_toxicity,morphology+expression,linear_svm,0.623,0.6141111111111112,-0.008888888888888835,0.5002777777777777,0.5017777777777777,0.0014999999999999458,0.1227222222222222,0.1123333333333335,-0.010388888888888712,unchanged
moa-fine,expression,xgboost,0.5,0.4893333333333334,-0.010666666666666602,0.5,0.5,0.0,0.0,-0.0106666666666666,-0.0106666666666666,unchanged
tox_infertility,expression,linear_svm,0.3972222222222222,0.4092777777777778,0.012055555555555597,0.3792222222222222,0.4033333333333332,0.024111111111111028,0.018,0.0059444444444445,-0.012055555555555498,unchanged
tox_cardiotoxicity,expression,xgboost,0.5769047619047619,0.5778571428571428,0.0009523809523809268,0.5025,0.5159523809523809,0.013452380952380993,0.0744047619047619,0.0619047619047619,-0.012500000000000004,unchanged
tox_liver_toxicity,morphology,xgboost,0.5,0.4981818181818182,-0.0018181818181817744,0.5,0.5127272727272727,0.012727272727272698,0.0,-0.0145454545454544,-0.0145454545454544,unchanged
tox_liver_toxicity,morphology+ecfp,xgboost,0.5,0.4961818181818181,-0.003818181818181887,0.5,0.5128787878787878,0.012878787878787823,0.0,-0.0166969696969697,-0.0166969696969697,unchanged
tox_cardiotoxicity,morphology+expression,linear_svm,0.5434523809523809,0.5477380952380951,0.004285714285714226,0.5129761904761905,0.5344047619047619,0.021428571428571463,0.0304761904761904,0.0133333333333331,-0.0171428571428573,unchanged
tox_infertility,expression,elastic_net,0.4618888888888889,0.4621111111111111,0.00022222222222217924,0.4429999999999999,0.4625,0.01950000000000013,0.018888888888889,-0.0003888888888889,-0.0192777777777779,unchanged
moa-fine,ecfp,linear_svm,0.6826666666666666,0.6659999999999999,-0.01666666666666672,0.5293333333333333,0.532,0.002666666666666706,0.1533333333333333,0.1339999999999999,-0.019333333333333397,unchanged
tox_infertility,morphology+ecfp,elastic_net,0.5252222222222223,0.5262777777777778,0.0010555555555555873,0.4606666666666666,0.4852222222222221,0.024555555555555497,0.0645555555555556,0.0410555555555557,-0.023499999999999903,degraded
tox_liver_toxicity,ecfp,sparse_plsda,0.6403333333333333,0.6105151515151515,-0.029818181818181855,0.440030303030303,0.433969696969697,-0.006060606060605989,0.2003030303030303,0.1765454545454544,-0.023757575757575894,degraded
tox_renal_toxicity,expression,elastic_net,0.6271111111111112,0.6148888888888888,-0.012222222222222356,0.4750555555555555,0.4886666666666666,0.013611111111111074,0.1520555555555556,0.1262222222222222,-0.025833333333333403,degraded
tox_pulmonary_toxicity,morphology+ecfp,elastic_net,0.5658333333333333,0.5757777777777777,0.009944444444444422,0.456,0.4921111111111111,0.036111111111111094,0.1098333333333332,0.0836666666666666,-0.026166666666666602,degraded
tox_liver_toxicity,expression,elastic_net,0.709,0.6822121212121212,-0.026787878787878805,0.4955454545454544,0.4949696969696969,-0.0005757575757575073,0.2134545454545455,0.1872424242424242,-0.026212121212121298,degraded
tox_pulmonary_toxicity,morphology+expression,xgboost,0.4253333333333333,0.4117777777777778,-0.013555555555555487,0.4617777777777777,0.4744444444444445,0.012666666666666826,-0.0364444444444443,-0.0626666666666667,-0.026222222222222404,degraded
moa-fine,ecfp,elastic_net,0.6626666666666666,0.6606666666666666,-0.0020000000000000018,0.4613333333333334,0.486,0.024666666666666615,0.2013333333333332,0.1746666666666666,-0.02666666666666659,degraded
tox_renal_toxicity,ecfp,elastic_net,0.6449444444444445,0.6352777777777777,-0.009666666666666823,0.5557222222222222,0.5762777777777778,0.02055555555555555,0.0892222222222223,0.0589999999999999,-0.0302222222222224,degraded
tox_cardiotoxicity,morphology,xgboost,0.4971428571428571,0.4698809523809524,-0.02726190476190471,0.4716666666666666,0.4751190476190476,0.0034523809523809845,0.0254761904761904,-0.0052380952380952,-0.030714285714285597,degraded
tox_renal_toxicity,ecfp,sparse_plsda,0.6393888888888888,0.6276111111111111,-0.011777777777777665,0.5528333333333333,0.5718888888888889,0.019055555555555603,0.0865555555555555,0.0557222222222222,-0.030833333333333296,degraded
tox_cardiotoxicity,morphology+expression,xgboost,0.5842857142857142,0.545952380952381,-0.03833333333333322,0.505,0.4991666666666666,-0.0058333333333334125,0.0792857142857141,0.0467857142857143,-0.0324999999999998,degraded
tox_infertility,morphology+ecfp,xgboost,0.4814444444444444,0.4523888888888889,-0.0290555555555555,0.4993333333333333,0.5053333333333333,0.006000000000000005,-0.0178888888888889,-0.0529444444444444,-0.0350555555555555,degraded
