component,block,feature,loading
6,morph,Nuc_Texture_Correlation_DNA_10_02_256,-0.05890827442154279
6,morph,Nuc_Texture_Correlation_AGP_3_00_256,-0.05865099993964558
6,morph,Nuc_Texture_Correlation_AGP_3_02_256,-0.05133981028194621
6,morph,Cells_Correlation_Overlap_AGP_ER,0.050231443474440654
6,morph,Cyto_Granularity_9_DNA,-0.04998429258434519
6,morph,Cyto_Correlation_Overlap_AGP_ER,0.04941033321224016
6,morph,Nuc_Texture_Correlation_ER_3_03_256,-0.04909213436753409
6,morph,Nuc_RadialDistribution_FracAtD_ER_4of4,-0.03974076230363565
6,morph,Cells_Neighbors_AngleBetweenNeighbors_5,0.037395611599206395
6,morph,Cyto_Granularity_10_DNA,-0.029941143002896197
6,morph,Nuc_AreaShape_Compactness,-0.028375039176653172
6,morph,Nuc_Texture_Correlation_DNA_5_00_256,-0.024934144059024586
6,morph,Nuc_Texture_Correlation_AGP_3_01_256,-0.01594724846909085
6,morph,Nuc_Texture_Correlation_DNA_5_01_256,-0.015748142359211983
6,morph,Cyto_Granularity_8_DNA,-0.013346764611939716
6,morph,Nuc_Texture_Correlation_Mito_10_01_256,-0.009854882819235378
6,morph,Cells_Neighbors_SecondClosestObjectNumber_Adjacent,0.009693310353640466
6,morph,Nuc_Intensity_IntegratedIntensity_AGP,-0.0089230222470795
