gene,highly_variable
METTL1,False
HOXC8,False
AGA,False
PI4K2B,False
BOD1L1,False
MAT2B,False
TLL1,False
EDC4,False
TRIO,False
VCAN,True
CLEC16A,True
MSR1,False
CDH1,False
MTREX,False
DNAH5,True
ZFYVE16,False
RIPOR1,False
C6,False
RAI14,True
SOX30,True
PNKP,False
BEST2,True
PHLPP2,False
SPDL1,False
STAU2,False
SLC66A1,False
CTNS,False
RTN4R,False
PHF23,False
CDH10,False
INPP4A,False
RAB27B,False
PSMA4,False
MYO16,False
LSG1,False
PARP3,False
TNC,False
THAP3,False
RIPOR3,False
TDP1,False
AIFM2,False
C2orf83,False
SPATA7,False
MED17,False
RETSAT,False
CAPG,False
AP2S1,False
USH2A,False
ZPBP,False
TG,True
ADAM28,True
BARX2,False
DCUN1D1,False
JADE2,False
ZIC2,False
LCP2,True
TRIT1,False
ADRB1,False
GUCA2B,True
CUL7,False
CTNNA1,False
PHKA2,False
CNTLN,False
EPHA3,False
HSPA5,True
DSG2,False
GEMIN8,False
OFD1,False
GPM6B,False
MAGEC2,False
PREX2,False
WDR37,False
YTHDC2,False
CTPS2,False
ATP6V1H,False
POLR2B,False
ATOSA,False
ARAP2,True
TPR,False
CP,True
KATNIP,False
DTNBP1,False
XK,False
ANO2,False
C12orf4,False
SCML1,False
WWC3,False
ARHGAP6,True
FAM184B,True
MAP4,False
GOPC,True
ROS1,True
USP28,False
HDAC9,True
TSPAN17,False
NOP16,False
CC2D2A,False
RRM2B,False
ZNF800,False
TNFRSF17,False
SNX29,True
LMO3,False
MRPS10,False
GUCA1A,False
RSF1,False
VPS13D,False
CELF2,False
FAM120A,False
R3HDM1,False
COL9A2,False
KITLG,True
ERCC8,False
ADAMTS6,True
H6PD,False
VAMP3,False
PER3,False
UTS2,False
TNFRSF9,True
EPN3,False
LTBP1,True
RCN1,False
ELN,False
RFC2,False
ARID1B,False
CLPTM1L,False
NEDD4L,False
FOXP3,False
PPP1R3F,False
HEXB,False
PTCD2,False
NEXMIF,False
JKAMP,False
DKK3,True
ARHGEF5,False
NFE2L3,False
MCUR1,False
LIMA1,False
LETMD1,False
SLC4A8,False
LAMC3,False
PTGER3,True
TNIP3,False
MAPK9,False
COL23A1,False
BCAR1,False
FHIP1B,False
HERPUD1,True
HOMER3,False
RAD51,False
POLQ,True
PIK3CB,False
CYBA,False
THOC3,False
HEBP2,False
MPHOSPH9,False
PLEKHA5,False
PRSS8,False
SIKE1,False
RRP12,True
FNIP2,False
MSMO1,True
TTC17,False
ALX4,False
FSTL4,True
FOXN3,False
METTL24,False
AKR7A2,False
MRTO4,False
NNAT,False
USE1,False
MCF2L2,False
NRIP2,False
LAMA3,False
AP5M1,False
ANAPC4,False
KCNQ1,True
TRAPPC3,False
THRAP3,False
PHPT1,False
ENTPD2,False
LY75,False
ARID4B,False
OPN3,True
SDCCAG8,False
PTPRN,False
HHAT,False
KIF1B,False
FOXC1,True
TBC1D22A,False
SYNE2,False
PLEKHH1,False
ATP9A,False
SPO11,False
CBLN4,False
CHRDL2,False
FAM168A,False
RELT,False
GALC,False
NOP58,False
SZRD1,False
KCNH2,False
CUL1,False
FAM114A2,False
CYFIP2,False
TAB2,False
GINM1,False
EIF2AK2,True
USP36,False
KMT2C,False
MCOLN3,False
CCDC85A,False
PUM2,False
MRPL43,False
ITIH4,False
ITIH1,False
HPF1,False
ZFR,False
ZNF280C,False
NPFFR2,True
PHF21B,False
TRAF1,True
RC3H2,False
IL17RB,False
TRAF3IP2,False
GYG2,False
DCBLD2,True
SERPINB3,False
SOAT1,False
PKP2,False
MSH4,True
F7,False
GDI2,False
PRDM1,False
ATG5,False
TMCC3,False
PITHD1,False
MTA3,False
USP13,False
ATP11B,False
LAMC2,True
CDK14,True
SEC61A1,True
PPP1R12A,False
RASGRF1,True
CAMK2B,False
CROCC,False
POLR3E,False
ATP2B4,False
ZC3H11A,False
RIOK2,False
YIPF1,False
NDC1,False
DGKG,True
FLYWCH1,False
UNKL,False
TBXAS1,False
PARP12,True
ALDH18A1,False
TARBP1,False
GATB,False
MXD1,True
CDK17,False
DNAJC25,False
SLC2A3,False
PSD,False
CTDP1,False
YBX3,False
STYK1,True
WNK1,False
RPS17P5,True
CCAR1,False
OGFR,False
GNA15,True
CREB3L3,True
PIGV,False
PTPRU,False
SNRNP40,False
RIMBP2,False
COL11A1,False
QSER1,False
MPC1,False
ACAA1,False
BCAT1,False
HDAC7,False
LZTS1,True
PRDM6,True
WNT8A,True
SPAG4,False
NCKAP1,False
MRPS35,False
GUCY1B1,False
SFSWAP,False
TNK2,False
MON2,False
CDH3,False
ARSF,False
GPBP1,False
DGAT2,False
ZNF112,False
CS,False
LTK,False
MRPS24,False
ELMO2,False
WAPL,False
VMP1,False
APPBP2,False
POLD1,False
SEZ6,True
EIF4B,False
SLC6A16,False
BICRA,False
SPHK2,False
RPL18,False
CA11,False
ISOC2,False
U2AF2,False
EPN1,False
MED29,False
AHRR,True
GSC2,False
ZNF275,False
MTMR1,False
GPC1,False
ADCK1,False
HAGH,False
RNF4,False
CASP8,False
LIMCH1,True
INTS13,False
TM7SF3,False
DLX3,True
SPA17,False
TSPAN32,False
CCN5,False
DMRT3,False
ST3GAL6,False
ATP2C2,False
NGFR,False
CDON,False
TAF2,False
HIPK2,False
TNPO3,False
BORCS8-MEF2B,False
RFXANK,False
TMEM161A,False
LPAR2,False
CTSA,False
SUGP2,False
SLC12A2,True
SNX24,False
EYA2,False
CNN2,False
ABCA7,True
SNCAIP,False
DDX20,False
BTBD1,False
FAR2,False
BCAS1,True
POU1F1,False
CHI3L2,False
SBNO2,False
PMS1,False
HMG20B,False
CALCRL,True
TAF11,False
ANKS1A,False
AP3D1,False
ZNF76,False
SLC9A3R2,False
NTHL1,False
BLTP3A,False
GNAI3,False
IPO5,False
OAT,False
WDR3,False
PKN2,False
WDR18,False
TRAM2,True
NTN1,True
GLP2R,True
MCM10,False
DGKA,False
ERBB3,False
ROPN1,False
ANKRD44,True
KARS1,False
ADAT1,True
PDIA5,False
TBC1D22B,False
NDUFB4,False
SPEN,False
MYLK,False
ZC3H15,False
MAP2K4,False
PACC1,False
SNAP91,False
SLK,False
CYB5R4,False
COL17A1,True
GSTO2,True
SEC61A2,False
PRKCQ,False
TLE2,False
ASB1,False
FAM107B,True
ME1,False
TBC1D1,False
CDK13,False
MTHFD2,True
SLC9A7,False
FOXJ2,False
YBX1,False
PDE4A,False
PPP2R5A,False
CTNNA2,False
ELAVL1,False
TIE1,False
DIP2B,False
SMARCD1,False
KDM4A,False
NFYC,False
ZMYND12,False
SLC9A3,False
NGEF,False
ASPM,False
CD84,False
ELOVL1,True
SPI1,False
POLR1H,False
MPPED2,False
CLDN18,False
ZBTB11,False
ATXN3,False
GOLGA5,False
FGFR2,True
