compound,moa_fine,source,comp1,comp2,comp3,comp4,comp5,comp6
Fluvoxamine (maleate),unclear,projected,-2.5593244350248705,-0.08672858222714651,0.1371412206416424,1.3017694854503714,-1.5654778298217602,0.5124747782773531
Gemfibrozil,unclear,projected,-4.25233009938403,-0.07398576655482347,-0.19843749997173768,1.0002800002183798,-1.8020519011198655,8.043616525501439e-4
Hexylresorcinol,unclear,projected,-2.6408314198059584,0.2914600364008836,1.1711210060170352,0.691969023003298,-0.6196022455357181,1.3291769476501298
Lopinavir,unclear,projected,-0.08701803945835546,-0.7732954467172196,-0.3910518176744693,0.24651953596444645,-2.0949596725225574,2.305758120941936
MK-3903,unclear,projected,1.7681856443033002,-0.4332609795875748,0.09023873181129079,-0.186794829777747,-0.49637053264172293,3.0622901339614317
Macitentan,unclear,projected,-2.5622105716502146,-0.8947277262452475,-0.9242007143244124,0.062169324708644724,-1.2764718288135823,1.5407567798739394
Medroxyprogesterone acetate,unclear,projected,-4.944276513639194,-0.1401411137546699,0.5123223029771702,1.0692103666935777,-0.7029260044829593,0.46565042329083856
Menadione,unclear,projected,-3.092881928826467,-0.3835142905153198,-1.602489124496657,-2.329196154458884,0.13341656159571758,2.7291901646891463
Mifepristone,unclear,projected,-2.041125639161843,0.5869222885966597,-0.5726755486440511,0.22340780732610976,-1.5067244392368242,1.464390500948342
Mozavaptan,unclear,projected,-1.7442404768216138,-0.2795214921024995,0.8610478523937065,-1.3014018532465597,0.4279179766684486,-6.26241426221811
Nevirapine,unclear,projected,-2.7453823527419483,0.0867668237265083,-1.3462440414801733,0.5514654622987439,0.5667139355408218,0.4416844311779689
Olanzapine,unclear,projected,-2.3536298464856897,-0.592121775260782,0.554575955680804,0.5257451866511588,-0.25449578803842315,0.9655806618330666
Omeprazole,unclear,projected,-0.522106537360725,-0.883770742264411,-0.7428811042234509,0.5764614686558126,-1.4721481538779548,0.07688258105116616
Orlistat,unclear,projected,-2.4810209131698615,-1.209626608284855,-1.9785863072955157,-1.243833694025036,0.6047891891907434,1.4617696246853138
Pentagastrin,unclear,projected,-1.4717744411208193,0.09466141187381304,0.2606713688039506,0.4270554688369963,-1.03838898718702,1.6111828780900002
Pentamidine (isethionate),unclear,projected,-3.2236547379229856,-0.16508150232598193,0.7050817552343801,0.6873414112768732,-1.9991303803908285,0.8337041344681988
Pimozide,unclear,projected,-1.0699900958713058,5.284389605144017,-0.7645433629594903,-2.7095047425542,0.877566566004915,-1.3878954156581564
Posaconazole,unclear,projected,-1.9630038990623166,-0.3735828552165763,-1.227846323815818,1.2312349091647985,-0.42945306549217427,0.2930305253093241
Pravastatin (sodium),unclear,projected,-2.268063715491547,-0.48853277966538544,-1.675325842564038,0.22060264272466046,-1.267280648464964,-0.3756760551018147
Relugolix,unclear,projected,-2.3771947156989643,0.5188705428892212,0.12307848853414868,0.4909659745884425,0.14472400155733064,0.5953984112885394
Ritonavir,unclear,projected,-3.5872212117125892,-0.0510700024993623,1.0492399282356366,1.475833220157484,-0.9482091885737011,0.25647033402815717
Rosiglitazone,unclear,projected,-3.7371627107625915,0.4505016196290333,-1.0751634165894373,-0.10767520432950003,-1.434074167276948,1.3097218360984662
Silodosin,unclear,projected,-3.078977075653785,-0.8579567100261948,-0.9595125996752121,-0.5542075663083048,-0.7734356312695013,-0.4691816695352626
Sulfisoxazole,unclear,projected,-3.2098523302866013,-0.35896010753116697,1.3400599563925706,1.0005707993979556,-1.4272156764175765,1.2597747581984884
Tadalafil,unclear,projected,-2.592068561081275,0.19298049075990853,-1.5176468439877393,0.6980154758797074,-0.44132560619175887,-0.5009514830185383
Terfenadine,unclear,projected,-0.4613171363068167,-1.1953902256218987,2.718582641108594,-0.9789771972930856,3.922869005044832,3.8614371738237323
Tolcapone,unclear,projected,-3.4126173559563693,-0.8462613854803138,1.0325009970688752,0.9536564023271621,-0.11223391907603339,0.6358922865057396
Tranilast,unclear,projected,-2.414594429455214,-1.388486746613481,-0.7500890225397664,-2.3665840729191765,-0.26317745909486057,0.6081756798434286
Triclosan,unclear,projected,-3.804364716905603,-0.8606099811187862,0.8603368013362578,0.974096259984468,-0.9216508716813324,3.2754608862427466
Voriconazole,unclear,projected,-0.9221082273277527,-0.4086931543582038,-1.3522217403226622,0.66361798415108,-0.6961310344509322,0.5276909004261015
Vortioxetine,unclear,projected,-0.4958472996422059,0.5082804849184932,2.1995428132371893,0.20263711126694933,2.434141753742188,1.249057377902424
Zileuton,unclear,projected,-0.22266450923645678,-1.1688135198972662,-1.5271260147020815,0.16379587252996403,-0.23888059604945114,1.382450222280721
venetoclax,unclear,projected,3.346346880440641,-1.3189686395130273,1.510097013326081,0.25546648910983155,-1.3601734970616577,2.844841817311389
