compound,moa_fine,source,comp1,comp2,comp3,comp4,comp5,comp6
Belumosudil,unclear,projected,-3.9347259248893627,0.43012315863151873,0.5239369297732457,0.9501760705918835,-0.611614587818124,0.8036643454692373
Bergenin,unclear,projected,-5.809496486876602,1.268569102296881,0.8945976715843886,0.5529548224638119,-0.4475577224911043,0.20351294815035798
Bosentan (hydrate),unclear,projected,-8.836284583355905,0.10273089825329108,-1.098612314402833,-4.5205180655324995,1.543239510155146,0.4382717902974021
Brivudine,unclear,projected,3.5301480885088026,0.25517879756789674,-1.1631127575142726,0.32634367491658667,0.6084656677473675,-3.4133469655710416
Captopril,unclear,projected,-4.279445671374426,-0.07640778668240204,0.6381361409607641,1.7264545831480629,1.3115895682643082,-3.17381951106955
Ciclopirox,unclear,projected,-8.162101599788219,2.259975818888273,0.7740227606364031,0.17736730972136547,1.1563433043563969,0.6916865333694162
Cilostazol,unclear,projected,-5.1648116306039045,-0.9495741889502942,-0.17008615690479642,0.11253383841376335,1.2710598793377808,-3.374716147445044
Clobetasol propionate,unclear,projected,-3.85400369332302,-0.14368735072534694,-0.10350412976838319,-1.1012007016188459,-0.34044793567925996,-6.007124288567479
Clotrimazole,unclear,projected,-2.934868496268268,1.8140585182157403,0.6015336948364387,-1.3811189540574984,0.07547855252189763,0.35722531310426003
Daidzin,unclear,projected,-4.243705014763093,1.0381275213966243,0.9477632403063334,0.8311138673030193,-0.07093511818929867,1.0405950582530445
Digitoxin,unclear,projected,-7.337216190113192,-0.6584231707770493,-0.8903493232015944,-0.9863595307337508,1.534776177887283,0.7315594495354778
Drospirenone,unclear,projected,-1.7339603298890742,0.3455243454723322,0.7924363243599305,1.233713873085361,-0.5330415757828475,0.4953788933652954
EX229,unclear,projected,2.473558668987151,0.6223142018126764,0.20580255713998397,-3.225154209224789,1.0752105713404272,0.40203805095660494
Erythromycin,unclear,projected,-4.095501023008994,-0.2790078255673817,0.5146745055047297,-3.307768827883509,1.1748440868784666,0.6592237205576725
Fenofibrate,unclear,projected,-6.600718687953192,-1.9405935492692363,0.1711678228076106,-0.7094425057253465,0.21348599499006568,0.43562763008571403
Finasteride,unclear,projected,-5.056685139877289,-1.3909247964071234,0.7300410223533599,0.6463265075816619,0.31251616502229795,0.9474338434095984
Fluvoxamine (maleate),unclear,projected,-5.01174810908798,0.5453083322711932,0.6571837217322332,0.7591969937617328,0.4270606986848413,0.10890377538602544
Gemfibrozil,unclear,projected,-6.051822067316765,1.71404515372107,0.7677885988133512,-0.7747449025180948,0.13191780908059178,0.15181746749986205
Hexylresorcinol,unclear,projected,-4.7915902170989435,0.9879314586901917,0.892772148766533,0.032889715249685765,0.7601600027447706,0.5510792630168251
Lopinavir,unclear,projected,-2.8702281170272976,-1.3544293970205816,0.838947167665954,-1.1238750838876472,0.42730020263985813,0.33328925992785424
MK-3903,unclear,projected,2.905512442162048,0.7986469399889923,0.2528413768073081,-0.03025809659384386,0.003012945656978195,0.2525597745510137
Macitentan,unclear,projected,-6.46519660477244,-0.8070669599893165,0.6327444845496231,0.5242734299365516,-0.3344882379444967,0.5112804318444997
Medroxyprogesterone acetate,unclear,projected,-7.718729169715738,0.3264723388374364,0.2511053256762143,0.07379117494601677,-0.2544892753508183,0.23005956448299703
Menadione,unclear,projected,-5.73321187163925,-4.860759227133467,0.14342747054814833,-6.093581251066071,1.406268022949021,-5.389539164548493
Mifepristone,unclear,projected,-6.2826609284882045,-1.4949387866018748,0.9190666585813394,0.154257369208668,-0.17844899113428692,1.0376935172092077
