model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,target,block,chance,degenerate,permuted_score,gap_vs_permuted
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5065555555555555,0.0561970189447056,25,False,0,0.2,tox_infertility,ecfp,0.5,False,0.5017777777777778,0.00477777777777777
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.3739444444444444,0.1285395649326946,25,False,0,3.3,tox_infertility,morphology+expression,0.5,False,0.3747222222222222,-0.0007777777777777661
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4814444444444444,0.0949170202900446,25,False,0,0.4,tox_infertility,morphology+ecfp,0.5,False,0.4993333333333333,-0.0178888888888889
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4686111111111111,0.0815815883368027,25,False,0,4.5,tox_infertility,morphology,0.5,False,0.4902777777777778,-0.021666666666666723
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.474,0.0519102977485746,25,False,0,45.3,tox_infertility,expression,0.5,False,0.497111111111111,-0.023111111111111027
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4445,0.1025556759358869,25,False,0,276.3,tox_infertility,morphology+expression,0.5,False,0.4704444444444444,-0.02594444444444438
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.467,0.0559420996970842,25,False,0,46.2,tox_infertility,morphology+expression,0.5,False,0.4964444444444444,-0.029444444444444384
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4643333333333333,0.0817910239875884,25,False,0,0.3,tox_infertility,morphology,0.5,False,0.5197222222222222,-0.055388888888888876
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4374444444444444,0.1321226749447948,25,False,0,0.1,tox_infertility,morphology,0.5,False,0.4961111111111111,-0.0586666666666667
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.7029393939393939,0.1321994347256502,25,False,0,295.0,tox_liver_toxicity,morphology+expression,0.5,False,0.4679090909090909,0.23503030303030298
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.7081818181818181,0.1261310627696787,25,False,0,0.1,tox_liver_toxicity,ecfp,0.5,False,0.4790303030303031,0.22915151515151505
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.689878787878788,0.1165674272925394,25,False,0,5.2,tox_liver_toxicity,expression,0.5,False,0.4706060606060605,0.2192727272727275
