model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,target,block,chance,degenerate
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4802380952380952,0.127102164881092,25,True,0,0.4,tox_cardiotoxicity,morphology+ecfp,0.5,
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5603888888888888,0.084687260545878,25,False,0,4.8,tox_pulmonary_toxicity,ecfp,0.5,False
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5008888888888889,0.0889850868348868,25,True,0,3.2,tox_pulmonary_toxicity,ecfp,0.5,
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5801666666666666,0.1021939272434135,25,False,0,0.1,tox_pulmonary_toxicity,ecfp,0.5,False
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5260555555555555,0.1101964295538641,25,True,0,0.1,tox_pulmonary_toxicity,ecfp,0.5,
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5466666666666666,0.1015010794809713,25,False,0,0.1,tox_pulmonary_toxicity,ecfp,0.5,False
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.4641111111111111,0.0972148251154227,25,True,0,0.2,tox_pulmonary_toxicity,ecfp,0.5,
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6583888888888889,0.1092231829956612,25,False,0,0.2,tox_pulmonary_toxicity,ecfp,0.5,False
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5626111111111111,0.0881426313244058,25,True,0,0.3,tox_pulmonary_toxicity,ecfp,0.5,
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4785,0.1199537719598988,25,False,0,4.5,tox_pulmonary_toxicity,morphology,0.5,False
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4848888888888888,0.0727410000372537,25,True,0,2.8,tox_pulmonary_toxicity,morphology,0.5,
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.5292777777777777,0.1523863267901441,25,False,0,0.1,tox_pulmonary_toxicity,morphology,0.5,False
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4273888888888889,0.1251452982697006,25,True,0,0.1,tox_pulmonary_toxicity,morphology,0.5,
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4877222222222221,0.1253345399863112,25,False,0,0.2,tox_pulmonary_toxicity,morphology,0.5,False
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4790555555555555,0.1149925655138487,25,True,0,0.1,tox_pulmonary_toxicity,morphology,0.5,
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.5162222222222222,0.127083694595722,25,False,0,0.3,tox_pulmonary_toxicity,morphology,0.5,False
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.5016666666666666,0.0994863350626483,25,True,0,0.4,tox_pulmonary_toxicity,morphology,0.5,
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4590555555555556,0.1022864532502643,25,False,0,299.3,tox_pulmonary_toxicity,expression,0.5,False
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5597222222222222,0.1294492130738232,25,True,0,292.4,tox_pulmonary_toxicity,expression,0.5,
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4448888888888889,0.147584313629971,25,False,0,3.4,tox_pulmonary_toxicity,expression,0.5,False
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.6223888888888889,0.115675231831448,25,True,0,3.4,tox_pulmonary_toxicity,expression,0.5,
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4823888888888888,0.1060228836235454,25,False,0,3.9,tox_pulmonary_toxicity,expression,0.5,False
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4909999999999999,0.1347220045817256,25,True,0,3.9,tox_pulmonary_toxicity,expression,0.5,
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4788888888888889,0.1357921432662416,25,False,0,57.3,tox_pulmonary_toxicity,expression,0.5,False
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4868888888888889,0.0966116382325406,25,True,0,63.1,tox_pulmonary_toxicity,expression,0.5,
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4623333333333332,0.116404679384963,25,False,0,309.6,tox_pulmonary_toxicity,morphology+expression,0.5,False
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.544111111111111,0.1395712570784871,25,True,0,309.5,tox_pulmonary_toxicity,morphology+expression,0.5,
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4485,0.1430185604807128,25,False,0,4.4,tox_pulmonary_toxicity,morphology+expression,0.5,False
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.6128333333333333,0.1199229948398472,25,True,0,3.9,tox_pulmonary_toxicity,morphology+expression,0.5,
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4836666666666667,0.132813384347092,25,False,0,5.4,tox_pulmonary_toxicity,morphology+expression,0.5,False
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4876666666666666,0.1354350101536107,25,True,0,5.3,tox_pulmonary_toxicity,morphology+expression,0.5,
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4253333333333333,0.1119815075121394,25,False,0,58.0,tox_pulmonary_toxicity,morphology+expression,0.5,False
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4617777777777777,0.1053046139938562,25,True,0,48.7,tox_pulmonary_toxicity,morphology+expression,0.5,
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5658333333333333,0.1075764155620793,25,False,0,8.5,tox_pulmonary_toxicity,morphology+ecfp,0.5,False
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.456,0.0834024898227983,25,True,0,6.6,tox_pulmonary_toxicity,morphology+ecfp,0.5,
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5742222222222222,0.1130968938892992,25,False,0,0.1,tox_pulmonary_toxicity,morphology+ecfp,0.5,False
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4931666666666667,0.1227186383461406,25,True,0,0.1,tox_pulmonary_toxicity,morphology+ecfp,0.5,
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5671666666666666,0.1131267725459657,25,False,0,0.1,tox_pulmonary_toxicity,morphology+ecfp,0.5,False
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4482777777777778,0.117164467078031,25,True,0,0.1,tox_pulmonary_toxicity,morphology+ecfp,0.5,
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5567777777777777,0.1399235461437141,25,False,0,0.4,tox_pulmonary_toxicity,morphology+ecfp,0.5,False
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4702222222222222,0.1355857662145994,25,True,0,0.4,tox_pulmonary_toxicity,morphology+ecfp,0.5,
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6449444444444445,0.1180852119613231,25,False,0,4.7,tox_renal_toxicity,ecfp,0.5,False
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5557222222222222,0.1087316892488734,25,True,0,3.0,tox_renal_toxicity,ecfp,0.5,
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6393888888888888,0.1061582792198214,25,False,0,0.1,tox_renal_toxicity,ecfp,0.5,False
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5528333333333333,0.1024457700564993,25,True,0,0.1,tox_renal_toxicity,ecfp,0.5,
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6100555555555556,0.1230322149923585,25,False,0,0.1,tox_renal_toxicity,ecfp,0.5,False
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5943333333333334,0.1120122623357829,25,True,0,0.2,tox_renal_toxicity,ecfp,0.5,
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.586111111111111,0.1108657012051234,25,False,0,0.2,tox_renal_toxicity,ecfp,0.5,False
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.4977777777777777,0.0502585905684384,25,True,0,0.2,tox_renal_toxicity,ecfp,0.5,
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4644444444444444,0.0730011415435859,25,False,0,4.3,tox_renal_toxicity,morphology,0.5,False
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4623888888888889,0.0997395682840139,25,True,0,2.8,tox_renal_toxicity,morphology,0.5,
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.3937777777777778,0.1370985272453337,25,False,0,0.1,tox_renal_toxicity,morphology,0.5,False
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4600555555555555,0.1011929461260962,25,True,0,0.1,tox_renal_toxicity,morphology,0.5,
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4659999999999999,0.1228205807742676,25,False,0,0.1,tox_renal_toxicity,morphology,0.5,False
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4473888888888889,0.1376653439089891,25,True,0,0.1,tox_renal_toxicity,morphology,0.5,
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4384444444444444,0.0657503227237068,25,False,0,0.3,tox_renal_toxicity,morphology,0.5,False
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4376666666666666,0.0959956917757571,25,True,0,0.3,tox_renal_toxicity,morphology,0.5,
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.6271111111111112,0.1031301167828987,25,False,0,289.9,tox_renal_toxicity,expression,0.5,False
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4750555555555555,0.1024389911780677,25,True,0,291.4,tox_renal_toxicity,expression,0.5,
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.514611111111111,0.1101648035926959,25,False,0,3.6,tox_renal_toxicity,expression,0.5,False
